"MonitoringLocation","TotalDepth_min","TotalDepth_max","maxSampleDepth_min","maxSampleDepth_max","n_DO_min","n_DO_max","year_min","year_max","TotalDepth_10","TotalDepth_90","maxSampleDepth_10","maxSampleDepth_90","n_DO_10","n_DO_90","Num_Events","boo.CBP144","Latitude","Longitude","UTMX","UTMY"
"WT4.1",0.9,2.5,0.3,2,1,4,1990,2019,1.5,2.1,0.5,1.22,1,3,369,TRUE,39.27755,-76.44368,375476,4348570
"WT5.1",12.1,18,11,16.9,9,18,1990,2019,15,17,14,15.7,15,17,500,TRUE,39.21309,-76.52254,368553,4341528
"WT6.1",4,7,3,6,4,7,1990,2019,5.3,6.1,4.3,5.1,6,6,349,TRUE,39.07851,-76.51005,369383,4326574
"WT7.1",5,11.3,4,10.3,5,12,1990,2019,9,10.2,8,9.1,9,10,357,TRUE,39.00764,-76.5035,369820,4318699
"WT8.1",5.2,11,4.2,9.4,6,16,1990,2019,7.38,9.8,6.5,8.7,8,10,369,TRUE,38.9496,-76.5461,366022,4312320
"WT8.2",1.8,3.9,1,2.9,2,5,1990,2019,2.3,3,1.4,2.1,3,4,363,TRUE,38.88696,-76.5349,366875,4305352
"WT8.3",2.2,4.5,0.5,3.7,3,6,1990,2019,3,3.9,2,3,3,4,365,TRUE,38.8425,-76.5341,366862,4300416
"WXT0001",0.2,11.6,0,0.1,1,1,1990,2019,0.6,2.2,0,0,1,1,489,TRUE,38.78538,-76.71343,351179,4294354
"WXT0013",0.7,7.8,0.4,2.4,1,5,2003,2019,1.3,2.2,1,1.9,1,4,348,FALSE,38.796,-76.7208,350561,4295545
"XAJ5327",3.3,4.3,3,4,2,5,2012,2014,3.5,4.2,3.2,3.9,4.1,5,22,FALSE,37.92197,-75.78777,430762,4197450
"XAJ7035",2.3,3.5,2,3.2,4,5,2012,2014,2.5,3.3,2.2,3,4,5,21,FALSE,37.95025,-75.77557,431860,4200578
"XAJ7384",1.6,2.5,1.3,2.2,3,5,2012,2014,1.6,2.4,1.3,2.1,3,4,21,FALSE,37.95535,-75.69052,439337,4201085
"XAJ8271",1.3,2.4,1,2.1,2,5,2012,2014,1.5,2.2,1.2,1.9,3,4,21,FALSE,37.97073,-75.71487,437210,4202808
"XAK7810",1.5,4.2,1,3.6,2,5,2003,2014,2.8,3.9,1.8,3,3,4,131,FALSE,37.96395,-75.65047,442862,4202014
"XBD9558",2.6,5.7,2.3,5.4,5,7,2006,2006,3.2,5.64,2.9,5.34,5,7,7,FALSE,38.1588,-76.7368,347837,4224859
"XBE2100",5,6.3,4.7,6,6,7,2006,2006,5.42,6.3,5.12,6,6.6,7,7,FALSE,38.0348,-76.5012,368257,4210739
"XBE5486",13.2,14.2,11,11,2,6,2009,2009,13.28,14.12,11,11,5.2,6,9,FALSE,38.0905,-76.5227,366471,4216951
"XBE6753",6.1,6.9,5.8,6.6,7,8,2006,2008,6.3,6.8,6,6.5,7,8,21,FALSE,38.1106,-76.5785,361616,4219263
"XBE6983",16.8,17.9,16.5,17.6,18,19,2007,2008,16.89,17.57,16.59,17.27,18,19,14,FALSE,38.115,-76.5283,366025,4219677
"XBE8396",0.9,2,0.5,1.6,1,4,2004,2008,1.2,1.7,0.7,1.2,1,3,124,FALSE,38.1378,-76.5058,368038,4222175
"XBE9300",2.6,4.3,2.3,4,5,5,2006,2006,3.38,4.3,3.08,4,5,5,7,FALSE,38.1543,-76.6659,354040,4224246
